Borough ,District ,School Code ,School Name ,School Type ,Enrollment (2017-2018) ,Capacity (2017-2018) ,Target Utilization % 2017-18 
,,,,,,,
Manhattan ,1,M364 ,Earth School ,Elementary ,355,234,152%
,,,,,,,
Manhattan ,1,M361 ,The Children's Workshop School ,Elementary ,315,216,146%
,,,,,,,
Manhattan ,1,M315 ,The East Village Community School ,Elementary ,318,239,133%
,,,,,,,
Manhattan ,1,M320 ,Manhattan Charter School ,Elementary ,258,203,127%
,,,,,,,
Manhattan ,1,M330 ,Girls Preparatory Charter School of New York ,K-8 ,654,612,107%
,,,,,,,
Manhattan ,1,M363 ,Neighborhood School ,Elementary ,304,286,106%
,,,,,,,
Manhattan ,1,M539 ,"New Explorations into Science, Technology and Math High School ",K-12 all grades ,"1,734","1,673",104%
,,,,,,,
Manhattan ,1,M110 ,P.S. 110 Florence Nightingale ,Elementary ,379,373,102%
,,,,,,,
Manhattan ,2,M560 ,High School M560 - City As School ,High school ,627,360,174%
,,,,,,,
Manhattan ,2,M077 ,P.S. 77 Lower Lab School ,Elementary ,358,211,170%
,,,,,,,
Manhattan ,2,M297 ,M.S. 297 ,Junior High-Intermediate-Middle ,193,119,162%
,,,,,,,
Manhattan ,2,M420 ,High School for Health Professions and Human Services ,High school ,"1,819","1,168",156%
,,,,,,,
Manhattan ,2,M170 ,Success Academy Hell's Kitchen (Manhattan 2) ,Elementary ,483,316,153%
,,,,,,,
Manhattan ,2,M150 ,P.S. 150 ,Elementary ,187,124,151%
,,,,,,,
Manhattan ,2,M255 ,M.S. 255 Salk School of Science ,Junior High-Intermediate-Middle ,386,261,148%
,,,,,,,
Manhattan ,2,M040 ,P.S. 040 Augustus Saint-Gaudens ,Elementary ,673,487,138%
,,,,,,,
Manhattan ,2,M290 ,P.S. 290 Manhattan New School ,Elementary ,631,461,137%
,,,,,,,
Manhattan ,2,M183 ,P.S. 183 Robert L. Stevenson ,Elementary ,588,443,133%
,,,,,,,
Manhattan ,2,M529 ,Jacqueline Kennedy Onassis High School ,High school ,567,437,130%
,,,,,,,
Manhattan ,2,M550 ,Liberty High School Academy for Newcomers ,High school ,427,336,127%
,,,,,,,
Manhattan ,2,M418 ,Millennium High School ,High school ,666,526,127%
,,,,,,,
Manhattan ,2,M475 ,Stuyvesant High School ,High school ,"3,336","2,734",122%
,,,,,,,
Manhattan ,2,M006 ,P.S. 006 Lillie D. Blake ,Elementary ,694,573,121%
,,,,,,,
Manhattan ,2,M397 ,Spruce Street School ,K-8 ,539,446,121%
,,,,,,,
Manhattan ,2,M267 ,"East Side Elementary School, PS 267 ",Elementary ,398,331,120%
,,,,,,,
Manhattan ,2,M896 ,Lower Manhattan Community Middle School ,Junior High-Intermediate-Middle ,385,321,120%
,,,,,,,
Manhattan ,2,M551 ,Urban Assembly New York Harbor School ,High school ,534,446,120%
,,,,,,,
Manhattan ,2,M089 ,P.S. 89 ,Elementary ,433,369,117%
,,,,,,,
Manhattan ,2,M212 ,P.S. 212 Midtown West ,Elementary ,366,314,117%
,,,,,,,
Manhattan ,2,M059 ,P.S. 059 Beekman Hill International ,Elementary ,614,528,116%
,,,,,,,
Manhattan ,2,M234 ,P.S. 234 Independence School ,Elementary ,642,558,115%
,,,,,,,
Manhattan ,2,M575 ,Manhattan Comprehensive Night and Day High School ,High school ,451,396,114%
,,,,,,,
Manhattan ,2,M400 ,High School for Environmental Studies ,High school ,"1,194","1,054",113%
,,,,,,,
Manhattan ,2,M033 ,P.S. 033 Chelsea Prep ,Elementary ,650,576,113%
,,,,,,,
Manhattan ,2,M011 ,P.S. 011 William T. Harris ,Elementary ,923,822,112%
,,,,,,,
Manhattan ,2,M276 ,Battery Park City School ,K-8 ,827,737,112%
,,,,,,,
Manhattan ,2,M225 ,Ella Baker School ,K-8 ,320,287,111%
,,,,,,,
Manhattan ,2,M439 ,Manhattan Village Academy ,High school ,456,409,111%
,,,,,,,
Manhattan ,2,M158 ,P.S. 158 Bayard Taylor ,Elementary ,793,715,111%
,,,,,,,
Manhattan ,2,M003 ,P.S. 003 Charrette School ,Elementary ,753,683,110%
,,,,,,,
Manhattan ,2,M605 ,Humanities Preparatory Academy ,High school ,235,218,108%
,,,,,,,
Manhattan ,2,M260 ,The Clinton School ,Secondary School ,604,566,107%
