Borough,District,Building Code,Building Name,Building Enrollment (2016-2017 Blue Book),Building Capacity (2016-2017 Blue Book),School DBN,School Name,Building Usage Plans Not Yet At Scale in 2018-2019
M,1,M019[1],P.S. 19 - MANHATTAN,398,689,01M019,P.S. 019 Asher Levy,
M,1,M019,P.S. 19 - MANHATTAN,398,689,01M301,"Technology, Arts, and Sciences Studio",
M,1,M025,J.H.S. 25 - MANHATTAN,1046,1487,01M378,School for Global Leaders,
M,1,M025,J.H.S. 25 - MANHATTAN,1046,1487,01M509,Marta Valle High School,
M,1,M025,J.H.S. 25 - MANHATTAN,1046,1487,01M515,Lower East Side Preparatory High School,
M,1,M056,J.H.S. 56 - MANHATTAN,602,1268,01M292,Orchard Collegiate Academy,
M,1,M056,J.H.S. 56 - MANHATTAN,602,1268,01M332,University Neighborhood Middle School,
M,1,M056,J.H.S. 56 - MANHATTAN,602,1268,79M973,Restart Academy,
M,1,M056,J.H.S. 56 - MANHATTAN,602,1268,84M080,Manhattan Charter School II,
M,2,M002,P.S. 2 - MANHATTAN,603,964,02M002,P.S. 002 Meyer London,
M,2,M047,J.H.S. 47 (SCH FOR THE DEAF) - M,413,807,02M047,47 The American Sign Language and English Secondary School,
M,2,M047,J.H.S. 47 (SCH FOR THE DEAF) - M,413,807,02M347,The 47 American Sign Language & English Lower School,
M,2,M047,J.H.S. 47 (SCH FOR THE DEAF) - M,413,807,75M138,P.S. 138,
M,2,M111,P.S. 111 - MANHATTAN,334,687,02M111,P.S. 111 Adolph S. Ochs,
M,2,M111,P.S. 111 - MANHATTAN,334,687,84M263,New York City Charter School of the Arts,
M,2,M440,BAYARD RUSTIN EDUCATIONAL COMP-M,2438,2741,02M313,"James Baldwin School, The: A School for Expeditionary Learning",
M,2,M440,BAYARD RUSTIN EDUCATIONAL COMP-M,2438,2741,02M392,MANHATTAN BUSINESS ACADEMY,
M,2,M440,BAYARD RUSTIN EDUCATIONAL COMP-M,2438,2741,02M419,Landmark High School,
M,2,M440,BAYARD RUSTIN EDUCATIONAL COMP-M,2438,2741,02M422,Quest to Learn,
M,2,M440,BAYARD RUSTIN EDUCATIONAL COMP-M,2438,2741,02M437,Hudson High School of Learning Technologies,
M,2,M440,BAYARD RUSTIN EDUCATIONAL COMP-M,2438,2741,02M605,Humanities Preparatory Academy,
M,2,M440,BAYARD RUSTIN EDUCATIONAL COMP-M,2438,2741,75M751,Manhattan School for Career Development,
M,2,M445,SEWARD PARK HS - MANHATTAN,1826,2176,02M294,Essex Street Academy,
M,2,M445,SEWARD PARK HS - MANHATTAN,1826,2176,02M305,"Urban Assembly Academy of Government and Law, The",
M,2,M445,SEWARD PARK HS - MANHATTAN,1826,2176,02M308,Lower Manhattan Arts Academy,
M,2,M445,SEWARD PARK HS - MANHATTAN,1826,2176,02M543,New Design High School,
M,2,M445,SEWARD PARK HS - MANHATTAN,1826,2176,02M545,High School for Dual Language and Asian Studies,
M,2,M460,WASHINGTON IRVING HS - MANHATTAN,2614,2923,02M374,Gramercy Arts High School,
M,2,M460,WASHINGTON IRVING HS - MANHATTAN,2614,2923,02M399,The High School For Language And Diplomacy,
M,2,M460,WASHINGTON IRVING HS - MANHATTAN,2614,2923,02M438,International High School at Union Square,
M,2,M460,WASHINGTON IRVING HS - MANHATTAN,2614,2923,02M473,Washington Irving YABC,
M,2,M460,WASHINGTON IRVING HS - MANHATTAN,2614,2923,02M533,Union Square Academy for Health Sciences,
M,2,M460,WASHINGTON IRVING HS - MANHATTAN,2614,2923,02M546,Academy for Software Engineering,
M,2,M460,WASHINGTON IRVING HS - MANHATTAN,2614,2923,84M174,Success Academy Union Square (Manhattan 1),
M,2,M480,JULIA RICHMAN ED. COMPLEX - M,1815,2174,02M225,Ella Baker School,
M,2,M480,JULIA RICHMAN ED. COMPLEX - M,1815,2174,02M449,Vanguard High School,
M,2,M480,JULIA RICHMAN ED. COMPLEX - M,1815,2174,02M459,Manhattan International High School,
M,2,M480,JULIA RICHMAN ED. COMPLEX - M,1815,2174,02M519,Talent Unlimited High School,
M,2,M480,JULIA RICHMAN ED. COMPLEX - M,1815,2174,02M565,Urban Academy Laboratory High School,
M,2,M480,JULIA RICHMAN ED. COMPLEX - M,1815,2174,75M226,P.S. M226,
M,2,M480,JULIA RICHMAN ED. COMPLEX - M,1815,2174,79M984,LYFE,
M,2,M520,MURRY BERGTRAUM HS (ECF) - M,1291,2122,02M135,The Urban Assembly School for Emergency Management,Y
M,2,M520,MURRY BERGTRAUM HS (ECF) - M,1291,2122,02M280,Manhattan Early College School for Advertising,Y
M,2,M520,MURRY BERGTRAUM HS (ECF) - M,1291,2122,02M282,Urban Assembly Maker Academy,Y
M,2,M520,MURRY BERGTRAUM HS (ECF) - M,1291,2122,02M520,Murry Bergtraum High School for Business Careers,Y
M,2,M535,PARK WEST HS (ECF) - MANHATTAN,2218,3135,02M288,Food and Finance High School,
M,2,M535,PARK WEST HS (ECF) - MANHATTAN,2218,3135,02M296,High School of Hospitality Management,
M,2,M535,PARK WEST HS (ECF) - MANHATTAN,2218,3135,02M300,"Urban Assembly School of Design and Construction, The",
M,2,M535,PARK WEST HS (ECF) - MANHATTAN,2218,3135,02M303,"Facing History School, The",
M,2,M535,PARK WEST HS (ECF) - MANHATTAN,2218,3135,02M542,Manhattan Bridges High School,
M,2,M535,PARK WEST HS (ECF) - MANHATTAN,2218,3135,75M138,P.S. 138,
M,2,M600,FASHION INDUSTRIES VOC HS - M,1680,2081,02M600,The High School of Fashion Industries,
M,2,M600,FASHION INDUSTRIES VOC HS - M,1680,2081,75M751,Manhattan School for Career Development,
M,2,M620,NORMAN THOMAS HS (ECF) - MANHATTAN,1160,2233,02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,Y
M,2,M620,NORMAN THOMAS HS (ECF) - MANHATTAN,1160,2233,02M432,Murray Hill Academy,Y
M,2,M620,NORMAN THOMAS HS (ECF) - MANHATTAN,1160,2233,02M500,Unity Center for Urban Technologies,Y
M,2,M620,NORMAN THOMAS HS (ECF) - MANHATTAN,1160,2233,84M351,Success Academy Charter School - Harlem 1,Y
M,2,M620,NORMAN THOMAS HS (ECF) - MANHATTAN,1160,2233,84M385,Success Academy Charter School - Harlem 3,Y
M,2,M827,AUX. SERV-MAN. LEARNING CENTER - M,335,909,79M645,School for Cooperative Technical Education,
M,2,M827,AUX. SERV-MAN. LEARNING CENTER - M,335,909,79M984,LYFE,
M,2,M827,AUX. SERV-MAN. LEARNING CENTER - M,335,909,79Q950,Pathways to Graduation,
M,3,M088,I.S. 88 - MANHATTAN,1051,1538,03M415,Wadleigh Secondary School for the Performing & Visual Arts,
M,3,M088,I.S. 88 - MANHATTAN,1051,1538,03M860,Frederick Douglass Academy II Secondary School,
M,3,M088,I.S. 88 - MANHATTAN,1051,1538,84M351,Success Academy Charter School - Harlem 1,
M,3,M149,P.S. 149 (TANDEM M207) - MANHATTAN,859,1195,03M149,P.S. 149 Sojourner Truth,
M,3,M149,P.S. 149 (TANDEM M207) - MANHATTAN,859,1195,75M811,P.S. M811 - Mickey Mantle School,
M,3,M149,P.S. 149 (TANDEM M207) - MANHATTAN,859,1195,84M351,Success Academy Charter School - Harlem 1,
M,3,M470,LOUIS D. BRANDEIS HS - MANHATTAN,1798,2251,03M402,The Urban Assembly School for Green Careers,
M,3,M470,LOUIS D. BRANDEIS HS - MANHATTAN,1798,2251,03M403,The Global Learning Collaborative,
M,3,M470,LOUIS D. BRANDEIS HS - MANHATTAN,1798,2251,03M404,Innovation Diploma Plus,
M,3,M470,LOUIS D. BRANDEIS HS - MANHATTAN,1798,2251,03M417,Frank Mccourt High School,
M,3,M470,LOUIS D. BRANDEIS HS - MANHATTAN,1798,2251,79M984,LYFE,
M,3,M470,LOUIS D. BRANDEIS HS - MANHATTAN,1798,2251,84M523,Success Academy Charter School - Upper West,
M,3,M490,"MARTIN LUTHER KING, JR. HS - M",2517,3544,03M299,The Maxine Greene HS for Imaginative Inquiry,
M,3,M490,"MARTIN LUTHER KING, JR. HS - M",2517,3544,03M307,"Urban Assembly School for Media Studies, The",
M,3,M490,"MARTIN LUTHER KING, JR. HS - M",2517,3544,03M492,"High School for Law, Advocacy and Community Justice",
M,3,M490,"MARTIN LUTHER KING, JR. HS - M",2517,3544,03M494,High School of Arts and Technology,
M,3,M490,"MARTIN LUTHER KING, JR. HS - M",2517,3544,03M541,Manhattan / Hunter Science High School,
M,3,M490,"MARTIN LUTHER KING, JR. HS - M",2517,3544,03M859,Special Music School,
M,3,M837,BEACON HS - MANHATTAN,240,1062,03M291,West End Secondary School,Y
M,4,M045,I.S. 45 - MANHATTAN,926,1379,04M409,Coalition School for Social Change,
M,4,M045,I.S. 45 - MANHATTAN,926,1379,84M335,Harlem Village Academy Leadership Charter School,
M,4,M096,P.S. 96 - MANHATTAN,450,770,04M096,P.S. 096 Joseph Lanzetta,
M,4,M099,I.S. 99 - MANHATTAN,942,1260,04M224,M.S. 224 Manhattan East School for Arts & Academics,
M,4,M099,I.S. 99 - MANHATTAN,942,1260,84M385,Success Academy Charter School - Harlem 3,
M,4,M099,I.S. 99 - MANHATTAN,942,1260,84M433,Renaissance Charter High School for Innovation,
M,4,M108[2],P.S. 108 - MANHATTAN,591,834,04M108,P.S. 108 Assemblyman Angelo Del Toro Educational Complex,
M,4,M108,P.S. 108 - MANHATTAN,591,834,04M964,Central Park East II,
M,4,M112[3],P.S. 112 (TANDEM M206) - MANHATTAN,990,1174,04M037,River East Elementary,
M,4,M112,P.S. 112 (TANDEM M206) - MANHATTAN,990,1174,04M112,P.S. 112 Jose Celso Barbosa,
M,4,M112,P.S. 112 (TANDEM M206) - MANHATTAN,990,1174,04M206,P.S. 206 Jose Celso Barbosa,
M,5,M030,P.S. 30 - MANHATTAN,888,1196,05M030,P.S. 030 Hernandez/Hughes,
M,5,M030,P.S. 30 - MANHATTAN,888,1196,75M138,P.S. 138,
M,5,M030,P.S. 30 - MANHATTAN,888,1196,84M384,Success Academy Charter School - Harlem 2,
M,5,M036,P.S. 36 - MANHATTAN,427,766,05M036,P.S. 036 Margaret Douglas,
M,5,M043,I.S. 172 (OLD 43) - MANHATTAN,988,1572,05M286,Urban Assembly Academy for Future Leaders,
M,5,M043,I.S. 172 (OLD 43) - MANHATTAN,988,1572,05M367,Academy for Social Action,
M,5,M043,I.S. 172 (OLD 43) - MANHATTAN,988,1572,05M369,Urban Assembly School for the Performing Arts,
M,5,M043,I.S. 172 (OLD 43) - MANHATTAN,988,1572,84M384,Success Academy Charter School - Harlem 2,
M,5,M136,I.S. 136 - MANHATTAN,783,1180,05M148,Eagle Academy for Young Men of Harlem,Y
M,5,M136,I.S. 136 - MANHATTAN,783,1180,05M302,KAPPA IV,Y
